PQ,Wat1,Wat2,Wat3,year,month,index
76503.3806948,113.354529334,19.4510138914,28.6089292819,2017,11,183
79625.6302815,260.437148298,20.8026886612,25.0733727201,2017,11,184
78736.3506611,151.997932462,21.8810210101,41.4842457909,2017,11,185
77857.0627373,204.384789528,25.3424883179,18.6506069413,2017,11,186
78900.0007014,249.036493486,21.8579800027,30.9058641824,2017,11,187
79366.7722108,327.819355276,19.6445521866,30.5156717708,2017,11,188
80400.0031116,281.381061518,19.6086738077,32.5037141763,2017,11,189
72796.3446096,113.590836687,19.5477745054,31.0183658911,2017,11,190
71567.9897923,210.994363729,21.1622983264,28.7536468611,2017,11,191
74977.7698241,359.144755497,22.3929253291,27.9218669952,2017,11,192
78696.9905618,310.284488153,24.213577342,32.0388420345,2017,11,193
77027.5994731,271.692307386,19.8245723504,30.2449573109,2017,11,194
79560.7437359,276.505226598,19.5841065338,24.6504207805,2017,11,195
80196.0521615,353.937343834,19.3207739038,30.7452944434,2017,11,196
77643.3904203,353.926486043,20.9858148171,30.4869325473,2017,11,197
77914.8898386,164.258916741,21.9254629856,30.1028196811,2017,11,198
74445.5419885,113.498952425,24.4078390228,29.7289132994,2017,11,199
74628.4007303,145.533399365,20.6710695195,32.0896913411,2017,11,200
74812.4126497,222.068662565,20.0369128052,26.5367862499,2017,11,201
74596.8510296,113.314684515,19.7644813202,33.25349862,2017,11,202
77908.8074358,238.791916788,19.4937779389,25.1846168787,2017,11,203
79639.4261487,225.081902979,19.7602743977,30.9762847169,2017,11,204
80304.1835287,113.386135553,25.5178524207,29.3792065091,2017,11,205
76213.7435515,236.306169075,20.8260918865,32.189850657,2017,11,206
77469.0362531,358.241344699,21.0017131215,27.7635234842,2017,11,207
79655.6174519,235.526013447,21.7908828603,26.9149802181,2017,11,208
68254.4100695,228.77003525,19.9036361048,26.6619670916,2017,11,209
71828.849164,171.859336775,19.6511411933,32.8457816322,2017,11,210
77298.6908124,267.727555512,24.0435229548,27.5445744628,2017,11,211
81276.2454117,183.075761509,20.1684718603,32.7627267816,2017,11,212
75233.742216,244.981253573,20.3057944688,29.4368801978,2017,11,213
75497.0337963,204.989199097,20.4654262867,30.0780198417,2017,11,214
83705.4917726,234.440100111,21.3635513085,26.7852127366,2017,11,215
79419.9927027,113.822079798,20.7815941942,29.3196037287,2017,11,216
72472.5591103,346.403289552,20.7041156451,27.9785708391,2017,11,217
73357.4020211,356.40301346,25.5181039495,28.4569099348,2017,11,218
75756.8222338,365.126011294,20.4177574686,33.1940223892,2017,11,219
71479.5460411,328.659490399,22.504448802,25.3297442474,2017,11,220
74278.538249,336.853503025,23.832759081,27.3612627259,2017,11,221
83803.0534808,113.833801422,25.8459063931,32.2243686811,2017,11,222
81096.6993665,299.067761798,23.8514608995,29.5779074876,2017,11,223
81772.1085818,353.372359489,25.9682687182,27.1247973618,2017,11,224
80664.7045283,180.422391179,26.3257253863,31.726802849,2017,11,225
82847.0440128,172.356184797,23.5335281316,35.9580099454,2017,11,226
82348.4017485,199.733466151,24.7241406317,27.94664494,2017,11,227
75394.6534732,113.661766862,24.5731234617,31.5824690105,2017,11,228
78181.7013014,273.756486206,25.2504872012,25.4478139511,2017,11,229
77477.0790551,320.114387586,24.2824440246,27.6020141758,2017,11,230
84326.171311,231.961997068,28.2364616686,31.8115458774,2017,11,231
82481.1951213,113.949756545,25.3815668849,26.7729281544,2017,11,232
83358.7624265,245.451535045,24.3261298613,32.4168435027,2017,11,233
83663.462349,231.540535284,24.8390947177,29.7345914361,2017,11,234
83046.9759605,279.559774662,24.9931756571,26.5564595685,2017,11,235
77551.1347568,279.198545843,24.7444782488,30.1803479823,2017,11,236
73995.3477471,279.621037237,25.5538981083,33.1982689634,2017,11,237
76532.7805355,279.821655303,28.9386434423,27.5044189451,2017,11,238
74962.5695993,279.871793244,24.5948058825,27.1235790921,2017,11,239
76082.7280743,279.808748894,24.1652644904,28.5110160807,2017,11,240
82972.7827279,279.381120786,24.9146942029,28.4171653374,2017,11,241
80041.5341868,279.35953933,25.3595693744,28.6290338221,2017,11,242
81054.3611675,279.370968742,24.7490693903,29.0187520914,2017,11,243
79486.8302103,279.227338501,23.5885506786,28.3845056445,2017,11,244
77439.8957515,279.278811243,28.7119983767,28.6168368975,2017,11,245
79214.2076373,279.37265264,24.0865445092,30.7602961173,2017,11,246
75854.6427768,279.404820909,24.607861919,26.6494217271,2017,11,247
73723.6265443,279.433381549,26.0587113097,31.6791363593,2017,11,248
73656.0948306,279.478727532,25.0826981696,35.3099111556,2017,11,249
81652.7278465,279.42012076,25.0542026006,28.9431078688,2017,11,250
81402.1304506,279.322335528,23.6443929528,28.3505098449,2017,11,251
80327.6299354,279.203929632,25.710541103,24.9472275595,2017,11,252
81833.6446641,279.185526427,26.6890901551,33.2526628278,2017,11,253
81609.6797661,279.140428501,23.7579814039,26.7291775588,2017,11,254
78086.3827881,279.139250614,24.6059644559,33.0628411235,2017,11,255
80741.008664,279.121915955,24.4113690828,27.8768081893,2017,11,256
77907.12841,279.036526095,20.7401961556,28.6709445694,2017,11,257
72395.1906985,278.961420605,19.6010441775,28.300242004,2017,11,258
75091.7835482,278.880465545,19.5994438962,32.94625267,2017,11,259
70383.4540904,278.540773317,24.2176679871,30.8872348164,2017,11,260
76524.0226864,278.573078894,19.3174547382,30.7935203237,2017,11,261
79124.3103184,278.670424401,19.3687620079,28.7511081688,2017,11,262
78946.7874707,278.558218163,22.0148360855,28.4133124171,2017,11,263
75750.084465,278.406137843,20.6819307701,27.0486300035,2017,11,264
78299.1279653,278.187818306,20.2254756556,30.5357285097,2017,11,265
74787.1905439,278.371901711,22.5569516372,30.677036875,2017,11,266
73424.7369308,278.203814473,21.4740967496,28.1439459193,2017,11,267
73317.1570066,278.724198197,19.0631707991,31.0456249698,2017,11,268
70121.9743362,278.753463757,19.2377117937,31.2430576171,2017,11,269
76730.938365,278.803998457,21.0286960416,29.8550622053,2017,11,270
74406.3779002,278.954646616,20.3620161623,28.2105238388,2017,11,271
77242.5437823,279.362994537,21.3550912382,32.10276465,2017,11,272
79624.888156,279.198811727,24.3268921797,34.2841548396,2017,11,273
76920.12223,279.018688798,19.2448095198,29.8906579081,2017,11,274
73801.6953844,278.807860077,19.33446072,27.8520271279,2017,11,275
76878.4209015,278.456928371,20.6901910943,29.6282347684,2017,11,276
79482.3635646,278.5321748,19.1669104008,32.210709533,2017,11,277
71401.4777909,278.755605111,20.2929501127,27.6366972671,2017,11,278
71184.0216545,279.302811146,25.5688911828,31.4772080402,2017,11,279
71597.0991057,279.402679918,20.3487220476,27.635070983,2017,11,280
80621.8893695,279.317999993,19.1875365143,32.6151305995,2017,11,281
