date,15m_indx,Wat1,Wat2,Wat3,PQ
11/6/2017,73,226.3,23.5,35.2,83.8
11/6/2017,74,222.4,21.1,35.1,82.7
11/6/2017,75,148.1,21.2,38.7,87
11/6/2017,76,208.9,20.1,37.2,87.6
11/6/2017,77,180.6,20.9,30.9,85
11/6/2017,78,226.7,24.8,37,88.2
11/6/2017,79,172.5,22.3,37.1,82
11/6/2017,80,356.2,19.2,31.1,84.8
11/6/2017,81,172.4,19.3,41.1,86.8
11/6/2017,82,275.3,20.3,33.5,88
11/6/2017,83,226,24,34.7,81.5
11/6/2017,84,227.7,23,40.9,83.5
11/6/2017,85,113,21.2,33,87.9
11/6/2017,86,259,21.3,35.2,89.3
11/6/2017,87,113,20,43,86.4
11/6/2017,88,113.8,23.4,31.2,90.9
11/6/2017,89,309.3,21.4,43.5,83.4
11/6/2017,90,146.5,20.7,31.2,84
11/6/2017,91,369.7,20.8,43.2,89.2
11/6/2017,92,361.8,21.3,31.4,88.5
11/6/2017,93,183.9,26.4,43.1,84.3
11/6/2017,94,230.6,21.4,33,85.5
11/6/2017,95,341.9,19.6,35.8,87.6
11/6/2017,96,332.9,20,26.9,86.9
11/7/2017,0,113.2,20.8,43.5,97.1
11/7/2017,1,113.5,21.8,35.2,88.5
11/7/2017,2,250.2,25.7,39.4,86.2
11/7/2017,3,123.3,20.5,32.9,87.6
11/7/2017,4,241.9,20.9,39.2,89
11/7/2017,5,290.8,20.7,37.4,89.6
11/7/2017,6,266.4,22.8,37.4,90.1
11/7/2017,7,231.5,23.7,35.4,84.5
11/7/2017,8,116.2,20.8,35.7,89.7
11/7/2017,9,114.1,21,39.5,89.2
11/7/2017,10,310.6,20.4,35.6,91.6
11/7/2017,11,369.9,25.5,41.4,86.2
11/7/2017,12,288.2,22.2,41.8,90.6
11/7/2017,13,189.7,20.3,31.7,85.4
11/7/2017,14,263.1,20.3,43.3,89.9
11/7/2017,15,169.7,22.7,41.6,85.2
11/7/2017,16,114.2,24.9,31.3,82.8
11/7/2017,17,213.7,21,33.6,77.7
11/7/2017,18,346,19.7,34.7,90.3
11/7/2017,19,250.5,21.1,37.7,92.4
11/7/2017,20,241.6,24.3,34.7,87.5
11/7/2017,21,379.5,22.2,33.4,87.2
11/7/2017,22,368.2,20.9,36.8,88.8
11/7/2017,23,369.8,20.9,35.4,85.6
